category,chunking_method,data_type,difficulty,count
수신,300_100,pos_neg,상,4
수신,600_200,pos_neg,상,1
수신,600_200,all_pos,중,1
수신,1000_300,all_pos,중,1
여신,300_100,pos_neg,상,3
여신,300_100,all_pos,중,1
여신,300_100,all_neg,하,1
여신,600_200,pos_neg,상,4
여신,1000_300,pos_neg,상,1
여신,1000_300,all_pos,상,1
여신,1000_300,all_neg,하,1
외환,300_100,pos_neg,상,2
외환,300_100,pos_neg,하,1
외환,300_100,all_neg,하,1
외환,600_200,pos_neg,상,4
외환,600_200,pos_neg,하,1
외환,600_200,all_pos,상,1
외환,600_200,all_neg,중,1
외환,1000_300,pos_neg,중,1
외환,1000_300,all_pos,중,2
